project_name,commit_hash,ID
cron-utils,ff67527e69868a2c2b05ab8a1ddcca8d8f896e44,1336
cactoos,7775a67e7a6ce47f8a6a54309a21221147cb0328,400
fastjson,c929dfe9bbebaf28315b161c8d34846ea922062e,75
fastjson,7cc1a5e8fd3d021f970900a01b51442699ce36c4,589
java-util,20cbc65e6dce821d08efa9620f455020635013da,497
java-util,1_20cbc65e6dce821d08efa9620f455020635013da,497
closure-templates,a3632fa5c95d50095999bf56d2a63c35dbe1a85e,968
zip4j,fd6b4ce84e25f9e16babd8e127d1a0be308ebe13,1693
commons-compress,9bdacbfb9631d3a3710a64f35482c643b78a2e79,295
assertj-core,df58d622a8ea4d68697559787089884fc2b80bf8,1749
crawler-commons,569ec9b8cd7f83a7f311bf0cfcc7c2e6cde0b5d8,484
rtree,08a6485f741c74d1b4236685e3dc6c0b6b0da08d,1240
vertx-codegen,3f9a7371eb6973fc52b28bf713a2dc10c44aaf17,999
closure-templates,ffd8586cc39cd5bfb43ec8ddd9a293a999c43003,959
spoon,91f9fbdcecce19f3b70ca82c7deef39f900075ae,138
HikariCP,d6ddff7ff528e980907c1bd171022b27a2344a97,457
fastjson,010691b365090a312d096dde96059d4fd2cb90ea,41
fastjson,0bf6cc85ad48a23b5f53447614f9f3e5d6795cd4,1562
vectorz,97eca9430fb96fedfec43e04c10e596bf064d37a,102
gauge-java,8ca94723ca24278fd103ba6e446d171d5a46eb9d,1218
fastjson,1b3fe247e4138566eb1b43feae2d8f0ecda65a5c,432
fastjson,89a4352e54257266615c0cb3a13ccf9149f8fd04,518
fastjson,d2833977b4125636de66c808efc8353ce9a7a3c4,487
fastjson,4061f6a3845e7a3ecdc3997abcd01c03e0714853,1552
rxjava-jdbc,27557f1879c00eeffb733fe1b1ccfa1e1834d363,663
fastjson,d48df21c69236ffb13213c204001be665b014540,550
streamex,276f1008555b5c39a8ffb3ab9b68775e67d97713,905
jsoup,13c2af3f24fceda5b44776a5257112ac7218d038,780
github-api,79b49a469c123335585953de1f57e106909245b4,864
cron-utils,aeaff59fbbcaf65363ac75eb29cb589ed6c855f8,178
commons-jexl,21a1cfca333d32e373d4955df9a82d5bb7822cf1,528
fastjson,02e9deba3f6e4356a89d54d86adac379fd5de8f4,244
univocity-parsers,48fd5fd661f52e8b98347d81181b2f7c8123054c,32
fastjson,3d5218c9eb06ecb5c5066b3e541987e1dc8f0729,610
equalsverifier,4167e66984e3654fe7a916ed666a98e3a68ba50c,383
java-util,d8a1ed2b783de1a8933234ff19bff4c75467ee54,522
stringtemplate4,8ad2c3dbdceeb33266da748fc209b45218916f08,740
partyline,77215c1d00fa1438e2aff9632b33697ab5bb774d,110
partyline,1_77215c1d00fa1438e2aff9632b33697ab5bb774d,110
encog-java-core,d8a143b7c90bbfe38ddd36db5b483057e4abebe4,1000
cactoos,ffcf120718db7521711139f292d2b71c7aea27a5,425
cucumber-reporting,51dd25432c74003acbecb5d99cd2f30ab0505f5f,225
fastjson,30116a9f30c28dc3bae7885b37f2d94a5db5274f,593
fastjson,ef50a5b756a6cab1ab753f4a661bdfb0ccbd6b7e,368
dbtools-query,f600e200eab32ca0d8c5c0f73adc98cfafd71bd3,430
fastjson,d50b584f3e9ffd37d82ac0cad62c196707417957,508
fastjson,67f5c9da2ce0e7582610ac9408aed99ce6557f6c,577
univocity-parsers,34632ebd31c651d7d84eac0af73729e244c0cb9e,42
